Start
50,2,31,22,32
10,61,56,57,2
90,60,37,59,65
82,90,64,6,2
30,31,0,41,82
36,4,12,58,85
57,57,80,26,61
37,96,10,4,68
86,3,68,43,99
6,46,35,22,18
53,3,88,7,69
80,98,32,77,15
39,82,50,97,31
24,45,70,0,75
40,75,55,80,38
21,1,49,44,76
80,49,15,78,78
35,36,45,2,46
64,11,31,24,10
27,69,12,11,31
33,23,92,58,73
63,83,96,83,71
64,77,76,95,86
97,96,52,59,87
96,47,56,17,35
75,70,53,47,46
7,6,82,62,26
72,49,60,74,23
19,5,25,35,62
57,32,54,11,37
84,43,93,14,73
30,61,52,50,24
61,70,13,77,44
82,75,58,61,85
97,34,4,81,68
77,89,47,11,11
58,54,67,28,46
82,39,84,25,86
34,35,63,3,94
2,17,89,62,84
38,24,95,1,7
21,69,12,7,21
2,30,62,75,77
39,33,94,50,53
74,1,73,19,17
42,32,83,48,94
89,53,84,26,93
4,42,37,27,88
46,54,46,22,82
1,98,27,67,39
82,27,96,61,27
43,91,55,1,91
38,5,77,53,43
43,61,15,13,47
23,52,75,52,89
94,15,31,2,65
8,81,84,0,12
87,82,80,61,13
28,5,6,87,93
58,47,19,85,58
59,9,93,77,51
45,84,80,99,49
88,48,99,47,67
31,85,10,88,41
39,66,49,55,77
91,98,21,72,98
88,93,84,86,16
74,84,29,12,87
65,84,5,37,14
87,70,91,23,34
5,36,60,0,36
32,6,25,12,72
85,83,54,36,89
55,77,31,63,94
48,99,74,27,44
67,4,95,47,74
51,72,99,85,14
20,82,32,89,5
74,11,16,99,51
4,85,98,92,38
28,18,48,87,72
70,3,79,72,12
98,58,8,59,35
17,63,62,65,54
15,12,41,57,39
70,71,71,56,21
60,76,58,87,28
81,71,61,87,41
24,97,85,53,95
31,56,16,60,21
39,80,87,65,13
35,12,35,98,26
7,23,22,8,19
19,84,48,46,61
15,4,42,48,57
34,67,32,24,1
9,19,87,29,49
25,13,16,49,4
5,89,49,81,46
83,2,90,73,24
25,97,69,96,15
67,87,21,96,43
8,60,78,74,45
61,82,78,82,57
11,23,79,61,51
78,27,80,94,6
2,13,17,93,50
3,3,75,18,45
75,23,96,14,43
83,9,76,98,50
32,97,42,97,75
48,96,70,2,73
29,85,38,83,1
50,81,82,90,12
98,44,24,88,35
91,40,29,48,18
52,84,18,29,98
70,39,63,61,33
50,30,73,68,55
30,53,70,59,11
16,86,47,73,65
98,66,62,97,62
0,59,64,33,13
49,51,9,27,59
20,92,33,52,39
19,64,90,82,56
0,34,61,16,69
60,88,74,61,12
82,20,31,91,50
71,4,76,53,3
21,26,44,90,20
66,35,61,26,27
51,73,52,22,13
67,61,65,73,35
79,8,74,4,76
6,63,0,41,98
44,48,62,41,95
87,90,33,1,64
99,1,5,35,78
96,19,27,89,4
19,53,17,43,95
94,83,28,47,32
58,48,87,64,75
1,61,47,33,1
13,34,25,20,39
36,23,15,37,36
83,81,34,93,10
64,67,77,4,29
93,33,87,78,56
99,43,36,74,59
30,9,83,92,90
36,74,79,98,16
2,2,6,4,59
58,67,28,48,71
79,61,73,17,73
95,29,4,98,0
35,34,49,73,87
42,76,5,25,85
40,14,13,56,10
81,69,12,20,66
64,98,68,9,7
51,92,35,87,97
44,76,68,61,53
83,25,59,46,48
12,44,5,86,87
71,91,24,61,40
13,87,40,99,28
3,76,60,92,39
99,56,13,31,67
58,99,0,56,97
0,83,84,27,8
80,52,99,37,29
54,52,77,74,28
25,42,84,8,74
0,27,71,41,82
19,42,55,18,22
34,2,95,47,68
50,82,67,92,67
1,40,96,34,29
12,16,94,82,92
2,51,73,18,44
58,33,42,57,67
99,81,5,79,9
96,88,22,15,35
59,73,69,22,68
58,0,25,0,72
32,24,46,31,30
13,94,33,92,2
39,31,70,20,3
99,76,39,25,50
50,57,1,55,39
53,41,18,95,92
84,4,52,66,61
52,80,43,65,95
74,74,8,17,50
8,6,40,23,58
63,2,76,0,54
78,58,66,0,88
46,13,91,74,30
91,34,32,79,65
